-1 __________________1_1_____111_____101_____0______00_______0_____
-1 ____________________10____0100____1100_____0_1__________________
-1 ____________01____0_1______0000____0101___0000____10____________
-1 ___________0______101______01______01_____01______10____________
-1 __________________10_1____101____1000___1___0___________________
-1 ___________________________111_____000___110______0_____________
-1 __________________0__1_____01_____110_____010______0________0___
-1 _____________1______1______101_____101____010_1____0______000___
-1 ___________________000_____11_____110_____1__0__________________
-1 _________________________00000___0010____01011___01_0____01__0__
-1 ____________________10____110______110______0______0____________
1 __________1________110___0_10_____101____1_0____________________
-1 _________0_______0___1___0001______11______1____________________
-1 ________________00___1__1011111_11000______001_______0________0_
-1 ____________0______0______0111_____01______10___________________
-1 __________________1_10____0100_____010____01____________________
-1 ___________1_______1_______10000___1110___1_00__________________
-1 ____________________10_____110___00000__________________________
-1 0000_1____001_1_111100__01001000__10010__00010____0_1_0_____1__0
1 _0_01_____0111_____1110____1100___1100_0__10______0______0______
-1 __________________0__1_____01______10______101______0___________
-1 __________________0________011____010____0__1________1__________
-1 __________________0_______0011____101_____110_____1_____________
1 __1______11_______10______000______01______011_____0____________
-1 ___________________01______001_____01_1___10____________________
-1 ___________________000_____001_____0011______0________0_________
-1 __________0_______0_1_____011______11______10______1_______1____
-1 _____________________0_____100_____000___11111__________________
-1 _____________________1___1111_____100_______0_______000_________
-1 ___________________01______01_____00111____0_1______0___________
1 ____________________01_____01_1___0100_1__000_____0_____________
-1 __________000_____110______10______0111___0______0______________
-1 ___________1________1_0____100_____10______10___________________
-1 ________________0__101___00000___0010______011_____0_1__________
-1 _____________________1_____110_____101____000___________________
-1 ___1_______1_______1______0111___0_11_____011____0_0____0_______
-1 _________________0_0____000001_____011_______1__________________
-1 _________________111__0_000010___11111_____010________0________0
1 ___________________11_____0100_____01_____01____________________
-1 _____________0_____10_____001_____011______1____________________
-1 0000____101011___001011___0010__1_10000__110100___100_______0___
-1 __________1________10_____1001____000____0_000__________________
1 _1_1______11111____1_1_____11_1____11__1_111____________________
1 ______________0______0_____10_____101_____00000_________________
-1 ___________________01______00______010_____00______000__________
-1 __________________1_10____110____0001_____0_11_______1__________
-1 ___10______0_1____010_1__0_1010__0111____0__010_______1_________
-1 ___________1______01_______011____110________0__________________
-1 ____________________10_____111_____01____1000____0______________
-1 __0________0_______0111____01_____101______01_______1___________
-1 ____________0_______0_____010_____011_____0_01____0_____________
-1 _________1__1111__10010__001010_0_0010____11110__10_0_____0_____
-1 __0________0_1____1101__110110____111___11011___00_0____________
-1 ____________________1______11_0____110____010______0________0___
-1 ___________________________111_____11_0____110______00_______0__
1 __________________0__1_____01_1_011111___0101___010______0_1____
-1 ____________0_______0______10______100_____101__________________
-1 __01_______01_1__00111_____01_____110________0__________________
-1 ___0_____10_0110_1101000_101100_0110100_00000000_111110__111_01_
-1 __________1_______00000____11_____1110__________________________
-1 ______________0___1_10____0100_____01_____01____________________
-1 __________________1_10__00000______000___110_______1________1___
-1 ____________0_______0______10______101_____0__1___0_____________
1 __________________0__10____011____0001____1___1_________________
1 _________01______11_01____100_1____1001100101100_0_001_0_0111___
-1 ____1__0____110___0_111___010_____1000___10_1_______1___________
-1 _____________________0_____1000____111_____1_1__________________
1 _____0_1_____000____11_____111_____01___________________________
-1 __________________0________00_____100____1100______01___________
-1 ___________________0______1101_____000__________________________
-1 ___________________________111_____000___100_____1_0_____1______
-1 ____________________10____000_____001_____0001__________________
-1 _1__1_____111___00010100__00101__0000_____00____________________
-1 ___________________000_____000____1110__________________________
1 __________________1______0000_____111_______01______01__________
1 __________________0__0__0101000_11111_____01____________________
-1 __________0_______1010_____10_____111___________________________
1 _____________________0___0_101___1101_____00_______0____________
1 _____________________01____101_____010___110_______0____________
-1 ___________________000_____10_____111_____01_______1_______1____
-1 __________________1000_____01_____011_____1_____________________
1 _________1______0_1_1___11111_____001_____00______000_____0_____
-1 ___________________0______1111____0000______1___________________
-1 ______________1____0000____11_____11111_________________________
-1 ___________________________111____011______001______0___________
-1 ___________________0_______011____101_____10_____1______________
-1 __________0_______0_10____010______01______1______10____________
1 ____________1____0011_____011____1111_____110______100______0_0_
-1 ____________________10_____10______0111______0_______0__________
-1 _______0_____0000_0000000000100000001100_011_10_00_1_10_0____10_
-1 _________1_______010_______101_____010_______10_________________
1 ___________10____000______010____0100_____1_0___________________
-1 __________________1_11____1000___00000_____0______111___________
-1 ____________________10_____1000___101_____0_____________________
-1 ____________0______10______11______0000_______1_________________
-1 ______________1____0000____000_____0001_________________________
1 ____________0_____11011____10______01_______01__________________
1 __________________1110_____10______100_____1__0________0________
-1 ____________0______00____10001___01111_____00______0____________
-1 ___________________0111____00______010______1___________________
-1 ____________________10_____111_____01_____000_____10____________
-1 __________0_______0011____010_____001_____0_010_______1_________
1 ______0______0______01____0011_____01_______10__________________
-1 __________01_______01______101____0000_____1____________________
-1 __1______0_1_1____10101__1000001__001_____0_____________________
-1 __________________0__1_____01_____0000___1111___________________
-1 ___________________000_____10_____1110______1______0_1__________
-1 _____0______00______10_____10_____111___________________________
1 ______________1___111111__111_____111___________________________
-1 _________________1110_____1101_____10______1_0__________________
1 ___1________1____1_0_11___10001___000__1_00_10______1___________
-1 __________110____0_1______0111_____01____001______0_______0_____
1 __________________001______011_____100____1_____________________
1 _1111_0___1110_00_110110_0_10010100000_1____1________1__________
1 ______________0______0_____10_____001______111__________________
1 ___1_____0__1____011011__0_00______00_____101________1__________
-1 ___________________________10_0___1100______0_______01__________
-1 ___000______0_______011____10______10______10___________________
1 ____________________111____10______000____010_______0___________
-1 __________________0__1_____000___1110____0__1________1__________
-1 _________________10_______0111____001_____00_______0____________
-1 ____________________1______11____0_11_____000____1_0_______111__
-1 _________________1__1_____1000_____10______1_0__________________
-1 ____________________1_____011___11011_____0______1_0____________
-1 _____1_0___0_11___00_1_1_1100000___0000_____111____1_1_______1__
-1 ___________________110____0010_____0000_______1_________________
-1 _____________________1_____11_____000_____001________1__________
-1 ___________________000____110______100_____1____________________
-1 _____________0___1__0____0001______11______1____________________
-1 _____________________0_____100_____110_____001____0000______10__
-1 ___________________________10______01____11011_____001__________
-1 __________________10_______1000____111_____111__________________
-1 __________0_0______0111____10_0___111_____01____________________
-1 ____________110___01_1__1100011__10000___110____110_____0001____
1 ___________________________111___0011_____0______110____1_______
1 __________1________100_____000_____01_0___0______0______________
-1 ___________1_______1______00000___101_____1_01___1______________
-1 ______________1____0011____0010____00________0__________________
1 ___________0_______00______0001____00011____0011_____0_0________
-1 __________1________11___0_001____0101_____00________0___________
-1 ____________________0______101____100_____0_1________1__________
-1 _____________0___1__0___11101_____011______1____________________
-1 __________________________0111____000_____0_1________1__________
-1 ___0______01111____0_0___110100__0_000_____01___________________
-1 __________________0_11_____11____0000_______000_________________
-1 ______________1____001_____100_____100_____10___________________
-1 _________0_______0_1_____000000____11______1____________________
1 ____________01____011_____011_____1111__000000_______00_________
-1 ___________________________10_____110_______0___________________
-1 ______________1___1111_____10_____1100______0___________________
-1 _______________1_____010___111_____110_____1_000________________
-1 __________10_______0_10____00100__0110___0___10______1__________
-1 ___0_______101____1_1000_1111001__11101_1110000__001____0_______
-1 ___________________0_______011_____0111_____0________0__________
-1 __________0________0_____1100______01______0_______0____________
-1 ___________________________10____0100____1__0________0________0_
-1 ___________________________1110___1110____0001__________________
-1 ___________________01______01______010_____00______0____________
1 ____1____0__1_1___0111_____010_____10_0___1_00______0___________
-1 _0________0_10_____011_____0011____000__________________________
1 ____________________01_____10_____111_____00000_________________
-1 _________________00000_____111_____01___________________________
-1 _____________1______11____00010____00000______1_________________
1 ___1_______1______11111___111_____111____111_1___11___1___1_____
-1 _____________________11___0001_____01_____01____________________
-1 _1_0______11100_0_0010__000010__0_00000___0_1___________________
-1 ____________0______0_11___0101____001_____0_____________________
-1 _________________1_000____1011____011____0______________________
1 __________0_0__0_1_00_0_0110000__1_111___111111____1_______1____
-1 _________________1__1_____101______01_____00_______0____________
-1 _____________________1____001______10______1_0__________________
-1 _________________1__10____100_____110________0__________________
-1 _____________________0_____100____1100___110______0_____________
-1 _____0______0______010_____01______0111______1__________________
-1 ____________10____0_1______000_____011______1_1_________________
1 ___________________________10______110_____1010____0____________
-1 ___________1_0____000______11_____111______1________1___________
-1 _________________________0110____0000_____100____1______________
-1 __0_______001_____010_____00111____10______1_0__________________
-1 ___________0______101______011____1010____0_____________________
-1 ______1_______1_____101____10______10______00_____0_____________
-1 __________1________1_0____1100_____000_______1________1_________
-1 ____________________0_0____10000___101____1_1___________________
1 __________________0_111____00______00____1110___________________
-1 ___________________________111_0___11101__1__0_______0__________
-1 __________1__1____111______100____10000___01_0__________________
-1 __0________0_______100_____11_____111___________________________
1 ____________________0______101_____011____0__1___0______________
-1 ____________1____0_110____011______01___________________________
-1 ___________________11____00000___1111_____0_____________________
1 _0________00_______0______0111___0_11______1____________________
-1 ____________010_____1000___10______10_____1_1________1__________
-1 ___________________000_____1010____110_0___1____________________
-1 ______1_______1_____101____10______01_____00_______0____________
-1 __________________0_______000_____010______11________1__________
-1 _________________________10000____1110____01_0__________________
1 ___1_1_____11____1011____10111___1100_1__10__0______0_0____0____
-1 ____________________10____0110____0000____1______1______________
1 ____________________10_____100____0000____01_____0______________
1 __________________11111___111_____111_____1______1______________
-1 ___________________0_______00_____101_____0_11_______1__________
-1 __________________________000_____100____1110___________________
-1 ___________________000_____010____111_0_________________________
-1 ______0____0_0_____000___11010____0000___0______________________
-1 ___0______00_1____0011_0__011100__001110__0_1_______1___________
-1 ___________0_______0______0011_____01_____01____________________
-1 ___________________01______00______110____1_10__________________
-1 ___________________011_____11____00000__________________________
-1 ___________________________111___00000______0_0_________________
-1 _____________________0_____101_____0111_____0________0__________
1 __________0__10____0_0____0100____1110____11______1_____________
-1 ______________1____001_____10_____110_____1_0_____1_____________
-1 __________0__0___10_0_____1000____110______1_0__________________
1 ____1_______1111____1______110____00000____110_______0__________
-1 __________0_______011_____0111___0011_____1______1______________
-1 ___________________000_____00______0111______1__________________
-1 ___0_______00_1___00000_1_0000__01000___00101____10011______1___
-1 _____0______00_____000_____10_____111_____11_____1______________
-1 _________________1___1____101______10_____000___________________
-1 __________0________010____01000___111___________________________
1 ___________________110____010_____101_______000_________________
1 ___________________000_____00______01011_____11______1_0________
1 _111111____0_110_111000_0_10100__0111111__0000_______0__________
1 1________1100_11__10011___0001___11110____1__10_________________
-1 ___________________0_10____110_____100____1_____________________
-1 _____________0_____1_0____0100____111___________________________
-1 ______________1______1_____111_____10______00_____0_____________
-1 ______________0_____101____10_____110_____01000_____01__________
-1 _________________________0_10_____100____10000___0___1__0_______
-1 ___________110_____11______01_____0010____0_1_____0_____________
-1 ___________________________10_____100____1_10_______01__________
-1 _____________________0_____101____1011____0__1__________________
1 _________00_____00001______10_____1100_____1____________________
-1 _1__01_01_1_010_1001100_1_110___110000001100000_000000__00_0_00_
-1 _________1___01__1___0___1001000_011111__001_____0______________
-1 ______________0__0_0__0___01100___101_____1001___10___1__0______
-1 _________1_______1_0_1___111100___0000____0_1_______01__________
-1 ___111_____1111____11101_011011___110110_00011___001____1011____
-1 ______________0___0_100___111011___100_____0______0_____________
-1 ______________00___0100____000_____0101_____1___________________
-1 ___________10_______000____110____110_______000_________________
-1 ______________1____001_____000_____11_____1_____________________
-1 ___________________________111_1___0001______0_______0__________
-1 __01__0____0_0_____10____11110___1011_0__01________1____________
-1 ____________0_1_____10____00110____011_____0_______0____________
1 __________________0000____1010_0__11100___1010____1110___11_1_0_
-1 ______1___0_11____01100___011____1011_____0_0___________________
1 __________1________11______111____0000_____0________0___________
-1 ___1______010______1______010_____100_______0___________________
-1 ___________10______10______10______110_____1_0_______0__________
-1 _________________1___1____10000___11110___11_10___0_1___________
-1 _____________________0_____1000___1010____1_0_____1_____________
-1 __________________01_1_____100____110_______0_______01__________
1 __________0_______0__0____0101____001_____01____________________
-1 ______________0______0_____10____0100____1__0___________________
1 ___________0__1__11001___0_010_1___0000____00000___0__00________
-1 ___________1000____11______1000____100_____101_______01_________
1 ___________________________111_____11____0001____0__1____0______
-1 __________________10_1____000_____1110____1_______1_____________
-1 ___________000__11111______11______110____1_0_0_________________
-1 _________10_____0000_1____010_1_00010000__1111___1_11_1_____1___
1 __________10_______0_______011_____0001______1_1________________
-1 ___________0________00_____1000___110_____010______1____________
-1 __________________0_______0111____010_____0_0___________________
-1 _____1______010___0_01_____001_____0001__101_____0______________
-1 ____________________0______011____0110____11____________________
-1 __________________1110_____10______010______1___________________
-1 ____________01______1______10______000________0________0________
-1 __________________10_0_____100_____1101____1_0__________________
-1 ___________________0_______001____10111__1_0_______0____________
-1 ___________________01_0____1010___11100___000_0_________________
-1 ___________1_______1_______101_____1001___1_0_0_________________
-1 ___________1_______1_______111_____0000___0___1__0______________
-1 __________________111_____0000_____10_____11_______1____________
-1 ______________1___0_01_____01111__110______011____0_____________
-1 __________1________1__0____010_____10_____1__0__________________
-1 ___________________________111___01000___10_____________________
-1 ____________________1_____0000____111_____1_0___________________
-1 ___1_______1_01_0__1111_00_010__1101010__100001__1___0________0_
-1 ____________010____001__000011__000011__0_100____1_0_0________0_
-1 _________________1___1____1000____100______0____________________
-1 ____________________10___1000_____110_____01_0__________________
1 ___________________1______0111_____01_____000___________________
-1 ____________________1____1_11____00000_____1____________________
-1 ______________0___1__0____110_____1011____100_____10_0___1_0____
1 1___0___000000____110_____110_1___0011____1011______0_1___111___
-1 ______________________0____110_____10_____001________1__________
-1 ___________000_____000_____000____000000__0_00___0___0__________
1 _____________01____000____1110___0_100___00110___001000___10_10_
-1 ____________________1_____011______01_____010______1____________
1 _________________11110____1111___0001_____110_____1_0___________
-1 ____________111_____10____01100__0000______1_______1____________
-1 ____________________1_____001______10______1_0__________________
-1 _____1______1____0000______01______011____10_0__________________
-1 ___________1______11_0_____101_____00_______0___________________
-1 ___0_____00_____001______1100____1110_____1_10___1______________
-1 __________0________0_____1110_____100_____010____0______0_______
-1 __________________1_______110_____1100____1_0_____1_0___________
-1 ____________0_1_____01_____01_____011____001____________________
-1 __________________0_______0011____110______1000_________________
-1 _____________1_____0_1_____001_____01_____001_______1___________
-1 _________________10______1_00___11110____1_00_______00________0_
-1 ___________________0111____01_____011____01______1______________
-1 ___________________________10_0____1100____10_0_________________
-1 __________0________0__1___010111___011____0101______10__________
1 ______________1____0000____1100___111___________________________
-1 __________________10_01____1000____110____11_10____1____________
-1 ____________________10_____10______011____000___________________
-1 ____________0____1_0_____1010____0110___01__0___________________
1 __________1__0_____10_____0011____001_____0_____________________
-1 ______________1___1__1____11000___110_____000___________________
-1 __________1________11______01______00_____10_0__________________
-1 _________________________0000_____010______11________1__________
-1 __________0_______0000____010____1011_____01____________________
1 _________________10_______0011___0010______1_0__________________
-1 ___________________0_______011____100_____1_0_____1_____________
-1 _____________1_______10____100_____10______10___________________
-1 _____________________1____001______01______10___________________
-1 __________________1_0_____0101_____00______10___________________
-1 ____10_0__1_0_0____010____0101___0_01___________________________
-1 __________________0_1______01______01______01______0_1__________
-1 ___________________________10______10_0____110______01_____10___
-1 ____________0_______0_____000______110_____1_1__________________
-1 ___________________0_______011___0001_____011_______1___________
-1 ____________________10_____11______00000____1_______1_______1___
-1 _____________________0_____101____10000___0_1_______1___________
1 __________0________0_1___0000_1__00001___01110____0___0_________
1 __________________1______1_10___10011____000______0_0___1110____
-1 __________________0_1______01______100_____1______01____________
-1 ____________0______0_____1010____0_11______1____________________
-1 __________________1_______110_____100_____1_0_____1_____________
-1 _________________11_______1100___00000_____1_1_____1____________
-1 __________________0__1____011_____010_____0_0___________________
-1 ____________________1______11______000___110______0_____________
-1 ____________________01____0111____100_______0_______01__________
-1 ___1_____01______0_0000__0000__1___1001___1101______0_1_____0___
-1 __________________________00000__1111_____0_____________________
1 __________________00_______001_____110____1_1___________________
-1 0___0____0_00_____0_1______011____0101___0_0_1____0_____________
-1 ___________________000_____0011____011____000_______0___________
-1 ____________________1___0__11___0111111_0_1_______1_____________
-1 _____________________1_____110_____101_____00_____0_____________
-1 ___________________000_____101_____10______10___________________
1 ____________1_0___11_0___010010__1101__0__1_______1_____________
-1 ___________0_______00______1100___111___________________________
-1 ______________0____0__0____0010___111___________________________
-1 ____________________1______11____0_11____011_____0_0_____0_10___
-1 _______0___0_10____0_1____0001_____001______111_________________
1 __________________111_____00000____010____110______0_0__________
-1 ______1_______1_____101___010_____101____10_0_______10__________
-1 __________000_____0111_____0111____11_____111___________________
-1 __________________1_______0111_____01______00______0____________
-1 _________________1_01_____101_____101______0____________________
-1 _0__0___000110___1_01000_1111____0_11_____1_____________________
1 ______________________0____110_____1110___111__0________________
1 ___________0______0_1____0111_____111_____11______1_0___________
-1 ___________________01______00______1011___1__0__________________
-1 _________________0_11____10110_____00_____010______1____________
-1 ____________________0______00____0001_______11_______1__________
-1 ___________________________10___1110100__10_01___00011__000_1___
1 ____________________1______11______011____00001_____1___________
-1 ___________________________10____0001_____0_____111_____________
-1 ____________01_____01______001____10101_11100_0__00000__0000_0__
-1 ___________________0_______001____1000____0_____111_____________
-1 _0________0________0_______101_____110_____1____________________
-1 _____0_____00______00111___000_____0011______1__________________
-1 __________0________010____010______11______1____________________
-1 ___________________0_______001_____010___111____________________
-1 ____________0_______011____10_____111_____00_______0____________
-1 ___________01_______10____00000____11______1____________________
1 __________1________11______01______01_______00_______0__________
-1 ___________________01_____0000___0_11______1____________________
-1 __________1_______111______100_____00______0____________________
-1 ____________________1______11______0100_____1_0________0________
-1 ___0______0______0_11_____011______01___________________________
-1 __________10_______0_1_____0100___110________0__________________
-1 ___________________0______1001_____010_____0_______0____________
-1 0__0__1__000_111__0110__000100____01010___0000_0__011_0____1____
-1 ___________________0______1101_____100_____10___________________
-1 ___________________________10_0____010____011_______1___________
-1 ___________________0_______001____1110_______00_________________
-1 __________0_______00______100____1_10______11________1__________
-1 ____________________1______11______01_____0101_______0_______10_
-1 _________111_______0_______10_____1010___1010_0__0______________
-1 ___________________________111_____1100____1__0________0________
-1 __________0________00_____100____1111_____01____________________
1 _____________0______011___001111_00011___0110____1__0___1_______
1 __1_______1___0___11_0__00110___000100__001000__000001__1_00____
-1 ___________________________111___0111____10______00_____0_______
-1 ___________________________10____0001_____1_01____1_____________
-1 ____________________1_____011_____000000__1______10_______0_____
-1 ____________0_____110______10______010______1___________________
-1 __________1________1_______011_____01____001______0________0____
-1 __________________0_______000_____010_____0_1________1__________
-1 _____1______01___1__011__1010____11111___10__0__1_______________
-1 ___________________01______00______0011_____0_______0___________
-1 _________0_1____1_01_0_1_1010000_100000010000000_1010000__111000
-1 __________________________000______01______1000___01_1__________
-1 __________________0__1_____01______10______110________0_________
-1 ___________10_______101____1000___1010____0_____________________
-1 ____________________1____0001____0011____001____________________
-1 ____00____0001__0000_1__1_0101___0_0011_000001___0111___00_1____
-1 __________________________0111____01111___0_____________________
1 ______________0_____101____101_____00_______0___________________
1 _______1______1_____001_00000_0___111__0__1_11____1___1_________
1 _____________01____000_____0000___111___________________________
-1 _1________1101_____011___10111___01111__0011_1__000_______10____
-1 ___0________0______0101____0010____01___________________________
-1 _________1_1______1_11___0_111___00111___0_000_____0_______0____
-1 _________10_0___1100_____1010____01010___0000_0___1_____________
-1 ___________0__0___10101____01______011__________________________
-1 ____0________01____0100____11_____111___________________________
-1 __________1_______11_0_____101_____01____000____________________
-1 ____________________10_____10____0101____10_____________________
1 ____________1________1____000111___01_____01____________________
1 __________________1_10____1111___000111_000_____________________
-1 _____________0____01_0___111000____11______1_0__________________
-1 ___1__10____1_00____111___000100__000011__00_111_00__111______0_
-1 __11_____011_0____110____01100__0__1000___110___111101_____00___
-1 _________0__0_____0_0____00001___1111_1___1_______1_____________
1 __________________________000_____1101______10_______1__________
1 1________11___0_0_1_00__101000__11010___1110000____0______111___
